rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
131,Air Force,MWC,14-18,106.2087748,140,103.2165195,147,0.581429625,131,14,18,5,13,13-May,0.569079298,0.306731691,0.747076591,0.569079298,0.306731691,0.747076591,0.799740115,0.951453701,106.90702,103.7113916,106.90702,103.7113916,106.0844078,104.6420677,112.6715053,113.801737,0.471335422,6,-0.062797029,1161,1269,1141.6625,1.016938018,1.111536903,0,0.277777778,-8.647801395,187,309
132,Butler,BE,14-18,100.3888835,265,97.6456069,52,0.578989927,132,14,18,6,14,14-Jun,0.688791441,0.535553972,0.770826883,0.688791441,0.535553972,0.770826883,0.696506366,0.786942655,109.9349236,100.7356064,109.9349236,100.7356064,96.23139803,97.99215893,102.0737554,101.9768561,0.502730526,15,0.068128013,1200,1402,1322.725,0.907218054,1.059933093,0,0.3,-4.681455948,120,44
133,Hawaii,BW,22-11,101.2103373,244,98.48449318,64,0.577854146,133,22,11,13,7,13-7,0.438877497,0.386771831,0.459678419,0.438877497,0.386771831,0.459678419,0.897242937,0.921066073,102.8169615,105.0967306,102.8169615,105.0967306,100.7088228,98.48280706,0,0,0,0,0.033853858,1322,1255,1307.875,1.010799962,0.959571825,0,0.65,-5.378205157,126,113
134,Syracuse,ACC,17-15,109.1043937,96,106.2000499,205,0.576952806,134,17,15,10,10,10-Oct,0.584486692,0.407750504,0.674192381,0.584486692,0.407750504,0.674192381,0.810331155,0.89668968,107.3111059,103.6214281,107.3111059,103.6214281,109.3919078,106.3903283,103.9191912,108.4853801,0.378829108,5,0.042468926,1463,1499,1360.25,1.075537585,1.102003308,0,0.5,-5.868472763,136,89
135,South Florida,Amer,14-18,106.0305714,144,103.3808914,151,0.572249298,135,14,18,7,11,11-Jul,0.546501428,0.395290309,0.660674359,0.546501428,0.395290309,0.660674359,0.802173507,0.885192953,105.688827,103.2438855,105.688827,103.2438855,108.1768495,102.1334522,115.1104681,101.4516559,0.810392648,6,-0.080369892,1337,1368,1291.6875,1.035080079,1.059079692,0,0.388888889,-8.994112623,191,335
136,Stephen F. Austin,WAC,19-13,104.4189362,171,101.8250633,116,0.571819808,136,19,13,11,7,7-Nov,0.459201517,0.356113202,0.527784228,0.459201517,0.356113202,0.527784228,0.880448047,0.918822201,104.5748585,104.2919698,104.5748585,104.2919698,104.2512159,99.76978568,106.0101578,118.8065789,0.212392908,2,-0.005138547,1325,1294,1287.5,1.029126214,1.005048544,0,0.611111111,-6.820583462,151,179
137,Ohio,MAC,19-14,109.8889305,84,107.4143419,238,0.56511039,137,19,14,10,8,8-Oct,0.440642081,0.445881529,0.416872389,0.440642081,0.445881529,0.416872389,0.871758734,0.854172713,105.1720984,107.3372003,105.1720984,107.3372003,110.1784152,109.3590647,102.274067,88.47187672,0.841198318,1,-0.023926687,1430,1349,1255.825,1.138693687,1.074194255,0,0.555555556,-7.371831444,163,224
138,Utah Tech,WAC,14-19,107.7906094,113,105.3725772,197,0.564860806,138,14,19,5,13,13-May,0.506189295,0.419553363,0.558096853,0.506189295,0.419553363,0.558096853,0.834132792,0.807258967,105.4915381,102.9746619,105.4915381,102.9746619,105.1064667,104.6291416,105.9061726,104.1823288,0.547042116,4,-0.108935038,1325,1357,1287.725,1.028946398,1.053796424,0,0.277777778,-10.78366494,234,353
139,Wyoming,MWC,22-Sep,107.6188139,122,105.3233407,194,0.561670617,139,9,22,4,14,14-Apr,0.650645393,0.483656206,0.7530935,0.650645393,0.483656206,0.7530935,0.749646828,0.843809204,109.0398356,101.14585,109.0398356,101.14585,107.6200079,104.5206525,121.5299327,115.7215582,0.637191928,8,-0.11485881,1204,1315,1185.225,1.015840874,1.109493978,0,0.222222222,-10.89771693,236,358
140,Samford,SC,21-11,108.2483731,107,105.9462999,202,0.561488124,140,22,10,15,3,15-3,0.368385604,0.322918739,0.394053846,0.368385604,0.322918739,0.394053846,0.90004831,0.891248001,103.6399216,107.16772,103.6399216,107.16772,109.3918559,106.2076982,111.5504843,99.30282259,0.792076469,1,-0.007941598,1409,1283,1238.9125,1.137287742,1.035585645,0,0.833333333,-5.893005036,139,185
141,Southern Illinois,MVC,23-10,100.5181967,259,98.38979715,61,0.561221051,141,23,10,14,6,14-6,0.46043575,0.397016678,0.472526117,0.46043575,0.397016678,0.472526117,0.862533895,0.872080084,103.8350612,104.9287717,103.8350612,104.9287717,101.6615597,98.63910089,98.49419555,104.6898678,0.33146771,3,0.115067224,1318,1231,1281.525,1.028462184,0.960574316,0,0.7,-3.000145497,95,12
142,Missouri St.,MVC,17-15,104.3731805,174,102.480606,131,0.552416844,142,17,15,12,8,8-Dec,0.482268747,0.477236295,0.49167586,0.482268747,0.477236295,0.49167586,0.846102932,0.809000986,103.8219166,103.7573319,103.8219166,103.7573319,102.3337176,101.2290176,105.6588368,100.4622814,0.641062783,3,-0.025926121,1295,1278,1273.6625,1.016752868,1.003405533,0,0.6,-7.633350383,167,230
143,Notre Dame,ACC,21-Nov,108.6699771,103,106.7502737,223,0.551063457,143,11,21,3,17,17-Mar,0.585358265,0.445987934,0.653595041,0.585358265,0.445987934,0.653595041,0.805510924,0.897129631,107.5347019,103.5019148,107.5347019,103.5019148,107.8339819,107.1565396,124.3551701,115.0556542,0.709683323,7,-0.129519672,1379,1493,1322.5875,1.042653133,1.128847808,0,0.15,-11.7950683,253,361
144,Eastern Kentucky,ASun,20-13,103.4550492,199,101.6768083,114,0.549682192,144,20,13,12,6,6-Dec,0.436213774,0.42349309,0.431124363,0.436213774,0.42349309,0.431124363,0.860157451,0.837926695,104.8182623,105.2164972,104.8182623,105.2164972,104.0461141,101.4548413,107.1110451,105.1659227,0.552495326,4,0.009385581,1354,1300,1276.525,1.060692113,1.018389769,0,0.666666667,-6.178659923,145,151
145,DePaul,BE,23-Oct,106.7354505,131,104.9928299,183,0.54718537,145,10,23,3,17,17-Mar,0.709253208,0.567652833,0.773940636,0.709253208,0.567652833,0.773940636,0.692966294,0.79983409,109.8082193,99.72411985,109.8082193,99.72411985,104.7866619,104.4888543,109.6367208,108.830645,0.521203062,15,-0.023571404,1395,1582,1417.7,0.98398815,1.115891938,0,0.15,-8.971897598,190,223
146,Long Beach St.,BW,17-16,105.3968563,157,103.7718266,161,0.544554111,146,17,16,11,9,9-Nov,0.476091813,0.517715398,0.462938389,0.476091813,0.517715398,0.462938389,0.848322332,0.777795015,103.4130251,102.8538512,103.4130251,102.8538512,105.0940216,102.4610103,105.4414495,104.7625401,0.518562673,4,-0.036596164,1555,1510,1498.65,1.037600507,1.007573483,0,0.55,-8.478084965,184,257
147,Portland,WCC,14-19,110.1528045,78,108.525974,265,0.542673055,147,14,19,5,11,11-May,0.56607477,0.458993933,0.663433496,0.56607477,0.458993933,0.663433496,0.787328326,0.840799668,108.4357742,103.4526807,108.4357742,103.4526807,108.4813047,111.0328322,122.5282227,127.6944952,0.383447323,7,-0.043802345,1214,1355,1141.65,1.063373188,1.186878641,0,0.3125,-8.937330096,189,278
148,LSU,SEC,14-19,106.0346263,143,104.5018511,172,0.541765099,148,14,19,2,16,16-Feb,0.639502361,0.40884713,0.805267612,0.639502361,0.40884713,0.805267612,0.7330995,0.897079396,108.3464164,101.318521,108.3464164,101.318521,104.5494474,105.8616818,110.7221368,112.2040302,0.461850814,12,0.020746707,1147,1347,1184.925,0.967993755,1.136780809,0,0.111111111,-6.828220236,154,140
149,Fordham,A10,25-8,102.0099187,227,100.6099226,97,0.539646689,149,25,8,12,6,6-Dec,0.435997732,0.281855261,0.529093898,0.435997732,0.281855261,0.529093898,0.879102729,0.911894589,102.1256032,104.9962889,102.1256032,104.9962889,99.30716747,98.52150616,86.24723377,97.73975389,0.191771618,2,0.154442398,1253,1213,1260.3875,0.994138707,0.962402436,0,0.666666667,-1.804370091,78,2
150,Troy,SB,20-13,102.7867418,211,101.4141136,109,0.538574994,150,20,13,11,7,7-Nov,0.453011985,0.3795216,0.506621019,0.453011985,0.3795216,0.506621019,0.85595759,0.846365677,104.2484063,103.8631656,104.2484063,103.8631656,98.83782318,97.89869489,104.1712239,88.52302911,0.866677015,2,0.037791868,1246,1205,1246,1,0.967094703,0,0.611111111,-5.887063568,138,99
151,Appalachian St.,SB,16-16,101.6549739,235,100.3367845,89,0.537454489,151,16,16,9,9,9-Sep,0.444558245,0.386539248,0.470857759,0.444558245,0.386539248,0.470857759,0.882477854,0.902360394,104.3275261,104.7076824,104.3275261,104.7076824,101.7727331,99.74571013,0,0,0,0,-0.085247751,1181,1174,1175.45,1.004721596,0.99876643,0,0.5,-9.949597151,214,341
152,Georgia Tech,ACC,15-18,103.9973633,179,102.8102351,140,0.532958962,152,15,18,6,14,14-Jun,0.566283713,0.375600207,0.66992951,0.566283713,0.375600207,0.66992951,0.802319759,0.859671641,108.3452219,103.6983679,108.3452219,103.6983679,101.824729,102.5171746,94.31820036,104.6227876,0.232829459,6,-0.007515659,1335,1466,1347.3375,0.990843052,1.088071845,0,0.3,-8.321648239,180,184
153,Cal Baptist,WAC,17-16,103.1799076,206,102.0719716,120,0.53099861,153,17,16,7,10,10-Jul,0.460504896,0.318030593,0.559299169,0.460504896,0.318030593,0.559299169,0.879457253,0.935502236,103.4879269,104.0371347,103.4879269,104.0371347,105.9560776,102.5760249,92.63838841,100.1602763,0.289506396,2,-0.052986857,1164,1166,1120.7,1.038636566,1.040421165,0,0.411764706,-9.606592486,203,293
154,Georgia,SEC,16-16,103.9587454,182,102.9480966,142,0.528056937,154,16,16,6,12,12-Jun,0.600765884,0.393432762,0.753784294,0.600765884,0.393432762,0.753784294,0.756795768,0.900505958,107.4032737,102.2976257,107.4032737,102.2976257,104.2128093,104.1684288,111.5677438,113.320014,0.455316038,8,0.065960994,1199,1385,1238.8625,0.967823306,1.117961033,0,0.333333333,-5.314027176,125,46
155,UC Riverside,BW,22-12,106.2745731,138,105.4122402,198,0.523406359,155,22,12,14,6,14-6,0.493812752,0.529078442,0.46500724,0.493812752,0.529078442,0.46500724,0.852557573,0.797699719,104.13026,103.5721913,104.13026,103.5721913,104.8688009,105.525304,95.77824047,101.2713288,0.344945983,3,0.127326129,1425,1375,1353.3375,1.052952423,1.016006724,0,0.7,-4.287258792,115,6
156,Northern Kentucky,Horz,22-12,103.1137088,208,102.321019,125,0.522172492,156,22.04498307,12.95501693,14,6,14-6,0.393424254,0.496892714,0.333428662,0.409574396,0.496892714,0.333428662,0.88090835,0.828135414,103.8623686,107.6633869,104.2986646,107.1272307,101.5224105,99.7694512,90.10661607,100.2663021,0.226423948,2,0.021727375,1376,1246,1287.2625,1.068935046,0.967945543,0,0.7,-6.51824766,150,136
157,Youngstown St.,Horz,24-9,110.6300829,69,109.7962224,289,0.521738325,157,24,9,15,5,15-5,0.32715687,0.298137493,0.333471128,0.32715687,0.298137493,0.333471128,0.934380976,0.93698255,101.6609087,108.4899231,101.6609087,108.4899231,111.1808485,108.8751584,0,0,0,0,0.045484896,1643,1456,1408.575,1.166427063,1.033668779,0,0.75,-5.228650464,123,80
158,SMU,Amer,22-Oct,103.4590665,198,102.7216134,137,0.52055471,158,10,22,5,13,13-May,0.643825608,0.585080416,0.678029497,0.643825608,0.585080416,0.678029497,0.732949455,0.765594334,107.8547142,101.0841865,107.8547142,101.0841865,103.2617423,104.2238688,105.1750569,107.3272696,0.442024243,10,-0.065683339,1291,1428,1308.7,0.986475128,1.091159166,0,0.277777778,-10.10200532,221,312
159,Seattle,WAC,20-12,100.2723228,270,99.61091246,79,0.519017546,159,20,12,11,7,7-Nov,0.510318969,0.448975085,0.547937663,0.510318969,0.448975085,0.547937663,0.855736746,0.865666819,105.8795883,103.9563915,105.8795883,103.9563915,97.82880391,97.65876123,95.16091771,100.548353,0.346763063,3,0.123155253,1223,1225,1254.9875,0.974511698,0.97610534,0,0.611111111,-4.689156437,121,8
160,Pacific,WCC,15-18,107.7464279,116,107.0889791,231,0.517589197,160,16,17,7,9,9-Jul,0.521034019,0.380797184,0.645951074,0.521034019,0.380797184,0.645951074,0.83559387,0.904076406,107.269838,104.7119036,107.269838,104.7119036,106.9749641,106.1057281,115.1243325,115.0560636,0.501705377,2,-0.041685893,1222,1310,1160.3125,1.053164557,1.129006194,0,0.4375,-9.799083042,210,274
161,UC Davis,BW,18-14,103.7693994,186,103.2509403,150,0.514396274,161,18,14,11,8,8-Nov,0.427668826,0.37976603,0.452884406,0.427668826,0.37976603,0.452884406,0.881374631,0.864346646,102.8897634,104.3774656,102.8897634,104.3774656,105.4697088,103.7421791,97.66876066,100.6007036,0.41577519,1,-0.016768243,1403,1341,1330.5375,1.054461073,1.007863363,0,0.578947368,-8.106990764,174,204
162,Montana,BSky,17-14,108.0556785,110,107.5364572,245,0.513844499,162,17,14,10,7,7-Oct,0.453525701,0.512720727,0.421814262,0.453525701,0.512720727,0.421814262,0.863680396,0.793375861,105.0195822,105.6893557,105.0195822,105.6893557,106.150671,104.7808387,111.5816424,107.6954052,0.600529211,2,-0.003187067,1172,1131,1080.0625,1.085122389,1.047161623,0,0.588235294,-7.619368395,165,172
163,George Mason,A10,20-13,101.0934599,247,100.6392799,98,0.51294265,163,20,13,11,7,7-Nov,0.505244954,0.48965668,0.506306847,0.505244954,0.48965668,0.506306847,0.86020767,0.86688123,104.7409978,104.3863442,104.7409978,104.3863442,100.4732715,100.0347812,101.8658906,102.2013565,0.490548699,3,0.090417123,1222,1211,1223.75,0.998569969,0.989581205,0,0.611111111,-5.797797337,134,21
164,UNC Wilmington,CAA,24-10,101.5228056,238,101.1285729,104,0.511184048,164,24,10,12,6,6-Dec,0.418168558,0.490510368,0.325536487,0.418168558,0.490510368,0.325536487,0.856848801,0.794601182,103.0759448,105.3976737,103.0759448,105.3976737,98.04317648,100.3021793,104.8313717,112.0503917,0.317377597,5,0.122953926,1211,1161,1201.875,1.007592304,0.96599064,0,0.666666667,-2.863701431,92,9
165,Longwood,BSth,20-12,103.646338,191,103.2489377,149,0.511042703,165,20,12,12,6,6-Dec,0.324665241,0.298512644,0.340355481,0.324665241,0.298512644,0.340355481,0.910426738,0.875397221,101.7984652,108.2757684,101.7984652,108.2757684,102.9491119,100.5354574,83.30845524,83.57588095,0.490786882,1,-0.04748021,1245,1145,1170.1875,1.063932062,0.978475672,0,0.666666667,-7.629297141,166,283
166,Brown,Ivy,14-13,100.6470938,256,100.3479906,91,0.508555813,166,14,13,7,7,7-Jul,0.458894459,0.426172657,0.48927899,0.458894459,0.426172657,0.48927899,0.860525301,0.85047093,103.582068,105.5964434,103.582068,105.5964434,103.3285649,102.8350029,93.88441372,94.30819161,0.487054845,2,-0.024985011,1049,1049,1015.1125,1.033382999,1.033382999,0,0.5,-7.242361696,159,227
167,Boston College,ACC,16-17,102.7282518,214,102.5881009,133,0.503924926,167,16,17,9,11,11-Sep,0.600110707,0.434651432,0.695721227,0.600110707,0.434651432,0.695721227,0.790789456,0.89587201,107.7719489,103.231879,107.7719489,103.231879,103.7598637,101.4057066,110.4029436,113.5617977,0.419599136,6,0.069428931,1349,1440,1339.4625,1.007120393,1.075058092,0,0.45,-6.824622328,153,40
168,Cleveland St.,Horz,21-13,104.3956545,173,104.2558473,168,0.503852718,168,22,12,14,6,14-6,0.36002831,0.398808914,0.335220385,0.36002831,0.398808914,0.335220385,0.912738437,0.869920655,102.4976089,107.9257025,102.4976089,107.9257025,105.1024474,104.4510783,103.0538369,99.73480808,0.59302219,1,-0.01671515,1502,1406,1374.8875,1.092453019,1.022629124,0,0.7,-8.1238639,176,203
169,Cornell,Ivy,17-11,110.3308209,74,110.2142248,293,0.50303983,169,17,11,7,7,7-Jul,0.432171296,0.345338842,0.49004964,0.432171296,0.345338842,0.49004964,0.874599771,0.889675804,103.3140045,104.8118342,103.3140045,104.8118342,109.5843356,110.955929,132.5227898,121.3390123,0.733785004,1,0.044239041,1125,1108,1022.575,1.100163802,1.083539105,0,0.5,-5.479479511,127,86
170,Ball St.,MAC,20-12,107.6058707,123,107.5114553,243,0.502523665,170,20,12,11,7,7-Nov,0.408985022,0.365316097,0.431850059,0.408985022,0.365316097,0.431850059,0.888370619,0.897782667,104.5316376,107.4526087,104.5316376,107.4526087,107.7324802,106.4545721,0,0,0,0,0.035252426,1381,1346,1247.225,1.107258113,1.079195815,0,0.611111111,-6.297759051,147,105
171,Richmond,A10,15-18,102.5484326,218,102.4621322,129,0.502420477,171,15,18,7,11,11-Jul,0.51275525,0.482480676,0.540702048,0.51275525,0.482480676,0.540702048,0.85473349,0.851427164,104.7798949,104.5103819,104.7798949,104.5103819,103.0418638,106.636265,106.3083175,114.4295858,0.300149607,3,-0.040548123,1229,1294,1207.925,1.017447275,1.071258563,0,0.388888889,-10.46096443,230,269
172,Chattanooga,SC,18-17,107.7082169,118,107.8046743,249,0.497426487,172,18,17,7,11,11-Jul,0.404968401,0.4016477,0.401017267,0.404968401,0.4016477,0.401017267,0.895119228,0.8833308,104.2860094,107.0262967,104.2860094,107.0262967,105.678899,108.3063504,110.1716038,106.0462881,0.607992199,1,-0.07404607,1326,1326,1229.3375,1.07862975,1.07862975,0,0.388888889,-11.04276774,238,327
173,Lipscomb,ASun,20-13,103.6182705,192,103.724621,159,0.497050739,173,20,13,11,7,7-Nov,0.403769955,0.34067506,0.423606429,0.403769955,0.34067506,0.423606429,0.889624976,0.902993798,104.9777932,107.1309239,104.9777932,107.1309239,101.3280447,101.130664,99.29687609,106.1942546,0.315983336,2,0.024952673,1356,1294,1280.175,1.059230183,1.010799305,0,0.611111111,-7.204934114,158,131
174,Stetson,ASun,17-13,112.2609072,50,112.4249728,331,0.495801448,174,17,13,12,6,6-Dec,0.444591443,0.492054492,0.416790435,0.444591443,0.492054492,0.416790435,0.868702915,0.815746561,104.906428,105.7926715,104.906428,105.7926715,112.3094132,110.061068,100.6859316,110.3158334,0.259143328,3,0.028891108,1409,1333,1218.2,1.156624528,1.094237399,0,0.666666667,-6.857168757,155,122
175,North Carolina Central,MEAC,18-12,100.2464906,271,100.4956672,95,0.492863138,175,18,12,10,4,4-Oct,0.322699743,0.419346609,0.236604857,0.322699743,0.419346609,0.236604857,0.894633065,0.821508835,100.7302568,106.2910606,100.7302568,106.2910606,98.28074186,97.8198956,108.3009561,113.6282962,0.365350974,3,-0.06242669,995,901,980.1375,1.015163689,0.919258777,0,0.714285714,-7.347778879,162,307
176,Saint Joseph's,A10,16-17,104.2378032,175,104.657244,177,0.4884566,176,16,17,8,10,10-Aug,0.488347507,0.423309155,0.523649929,0.488347507,0.423309155,0.523649929,0.857603064,0.852055632,104.4465055,105.0313658,104.4465055,105.0313658,104.8248678,104.637266,122.689472,135.2499552,0.245847629,2,-0.022404241,1321,1326,1266.75,1.04282613,1.046773239,0,0.444444444,-9.739145169,207,218
177,UNC Asheville,BSth,27-7,102.6276923,217,103.0613835,145,0.4878786,177,27.0513666,7.948633397,16,2,16-2,0.363939484,0.404745034,0.342872615,0.38057602,0.404745034,0.342872615,0.884396601,0.843330514,102.523563,107.0403266,102.8592774,106.4794335,100.9199326,99.12113183,99.58886262,107.4051982,0.295479118,3,0.178132335,1300,1161,1226.6,1.059840209,0.946518833,0,0.888888889,-1.72845046,76,1
178,Radford,BSth,19-14,103.9644437,180,104.5175176,173,0.484750739,178,19,14,12,6,6-Dec,0.382446304,0.441022672,0.343212518,0.382446304,0.441022672,0.343212518,0.887143096,0.8149101,103.3922414,106.9336582,103.3922414,106.9336582,100.4963581,101.8186522,101.3896641,94.2088984,0.699464658,3,-0.019721884,1189,1132,1142.475,1.040722992,0.990831309,0,0.666666667,-8.373365781,181,213
179,Grambling St.,SWAC,24-9,99.5077981,280,100.0817902,86,0.483469774,179,24,9,15,3,15-3,0.297727949,0.47347946,0.196286349,0.297727949,0.47347946,0.196286349,0.911618121,0.809439621,98.9027382,106.8617725,98.9027382,106.8617725,99.78158508,100.9468074,90.35568577,102.0594912,0.197701508,2,0.045324315,1241,1101,1205.125,1.029768696,0.913598174,0,0.833333333,-4.532927921,117,83
180,UTEP,CUSA,14-18,99.46717495,281,100.1774277,87,0.479555202,180,14,18,7,13,13-Jul,0.497122407,0.369811206,0.569238997,0.497122407,0.369811206,0.569238997,0.841133051,0.875794022,105.5800242,103.8998637,105.5800242,103.8998637,98.45720011,98.16919219,91.30990512,92.40195781,0.465872571,4,-0.057355701,1341,1384,1382.2375,0.970166126,1.001275106,0,0.35,-10.42708402,229,299
181,Louisiana Tech,CUSA,15-18,104.5749009,165,105.4891875,199,0.474994321,181,15,18,7,13,13-Jul,0.50735341,0.37342883,0.569685102,0.50735341,0.37342883,0.569685102,0.834738288,0.871976396,105.6200601,102.9172882,105.6200601,102.9172882,104.2924896,105.0244304,101.8522113,100.8115781,0.529490952,5,-0.018772455,1380,1412,1336.7875,1.032325631,1.056263617,0,0.35,-9.750171688,208,209
182,St. Bonaventure,A10,14-18,100.7201301,254,101.8596251,119,0.467701404,182,14,18,8,10,10-Aug,0.491913233,0.426622987,0.533731546,0.491913233,0.426622987,0.533731546,0.876792622,0.906996507,104.2198269,104.5861601,104.2198269,104.5861601,101.7320033,101.8798495,105.9765292,91.29031879,0.847546797,1,-0.04581729,1210,1237,1213.475,0.997136323,1.019386473,0,0.444444444,-11.56738397,249,282
183,Quinnipiac,MAAC,20-12,103.9153807,184,105.1067593,185,0.467272813,183,20,12,11,9,9-Nov,0.36268762,0.392511165,0.350857879,0.36268762,0.392511165,0.350857879,0.908839829,0.880661552,100.7441372,105.635228,100.7441372,105.635228,103.6811188,104.5760868,103.1044185,95.68045237,0.702529978,2,0.021863073,1451,1409,1391.625,1.042665948,1.012485404,0,0.55,-7.298460571,161,135
184,Georgia Southern,SB,17-16,100.4129138,263,101.6652751,113,0.464424654,184,17,16,9,9,9-Sep,0.427513499,0.325265242,0.491602814,0.427513499,0.325265242,0.491602814,0.881012676,0.907955107,104.5662173,105.8785831,104.5662173,105.8785831,104.2033875,101.8361378,0,0,0,0,-0.030870099,1258,1250,1222.5625,1.028986248,1.022442615,0,0.5,-9.764945791,209,248
185,South Dakota St.,Sum,19-13,103.9612573,181,105.2739171,189,0.463988733,185,19,13,13,5,13-5,0.437595628,0.607127706,0.340625345,0.437595628,0.607127706,0.340625345,0.849715686,0.724889907,104.5912005,106.0193749,104.5912005,106.0193749,104.6991463,104.5025265,90.54199865,90.35944309,0.505802318,4,0.06318564,1304,1213,1187.6875,1.097931905,1.021312424,0,0.722222222,-6.08314805,144,49
186,Texas A&M Corpus Chris,Slnd,23-10,106.0666029,142,107.4529009,239,0.462736214,186,23.67515699,10.32484301,14,4,14-4,0.275391043,0.356407734,0.216284007,0.275908483,0.356407734,0.216284007,0.916033464,0.839846819,101.2797791,109.2447527,101.24874,109.2145178,105.9372153,107.179781,88.96503041,97.65508159,0.255064598,3,0.003480473,1470,1307,1284.5375,1.14438076,1.017486839,0,0.777777778,-5.886446018,137,164
187,Harvard,Ivy,14-14,99.56371359,279,100.8799017,100,0.462314402,187,14,14,5,9,9-May,0.438539324,0.381338564,0.495740084,0.438539324,0.381338564,0.495740084,0.87018955,0.872979449,103.7573167,104.7296551,103.7573167,104.7296551,98.97162665,101.6244868,98.10532749,90.82695637,0.708164034,1,-0.032639579,973,960,957.2,1.016506477,1.002925198,0,0.357142857,-8.421999368,183,250
188,Buffalo,MAC,15-17,103.7264089,189,105.1603099,187,0.460610349,188,15,17,9,9,9-Sep,0.495477398,0.53966539,0.454316635,0.495477398,0.53966539,0.454316635,0.831756866,0.773513377,106.735555,105.066836,106.735555,105.066836,103.1042642,103.6091161,106.1943244,102.1792293,0.609029788,4,-0.014547777,1379,1379,1305.9875,1.055905972,1.055905972,0,0.5,-9.154850274,193,198
189,Drexel,CAA,17-15,100.3667678,267,101.7833619,115,0.459792452,189,17,15,10,8,8-Oct,0.370191436,0.449311564,0.32376574,0.370191436,0.449311564,0.32376574,0.906998345,0.875084863,101.0553602,106.4573942,101.0553602,106.4573942,98.70476861,101.2221609,78.17146378,97.29809384,0.074670872,1,-0.071601756,1202,1133,1175.5125,1.022532725,0.963834923,0,0.555555556,-10.1997684,224,324
190,St. Thomas,Sum,19-14,106.5616113,134,108.1634748,256,0.457208753,190,19,14,9,9,9-Sep,0.36944335,0.386818424,0.341362388,0.36944335,0.386818424,0.341362388,0.888154218,0.849840279,102.5955901,107.1954157,102.5955901,107.1954157,105.1917349,108.3270749,108.2276083,112.987526,0.378723302,3,-0.014697396,1312,1291,1204.175,1.089542633,1.072103307,0,0.5,-8.374817349,182,199
191,East Carolina,Amer,16-17,101.9753666,228,103.5110276,154,0.45713323,191,16,17,6,12,12-Jun,0.547491846,0.351521741,0.664806653,0.547491846,0.351521741,0.664806653,0.804675465,0.91985756,105.8298651,103.6116705,105.8298651,103.6116705,101.747079,103.711107,91.60493404,98.25337338,0.308798768,5,0.054807116,1210,1318,1233.075,0.981286621,1.068872534,0,0.333333333,-7.663183345,169,66
192,Texas St.,SB,16-19,104.5896115,164,106.2243435,207,0.455529232,192,17,18,6,12,12-Jun,0.468055445,0.363525482,0.527896004,0.468055445,0.363525482,0.527896004,0.871308482,0.898851907,104.0294942,103.5319195,104.0294942,103.5319195,101.803495,106.1268048,106.9002176,113.9993318,0.32313264,1,-0.037587902,1153,1220,1149.3875,1.003142978,1.061434895,0,0.333333333,-11.80647315,254,261
193,Western Kentucky,CUSA,17-16,103.5050138,196,105.1344201,186,0.455213807,193,17,16,8,12,12-Aug,0.499903613,0.338793909,0.571620228,0.499903613,0.338793909,0.571620228,0.847327131,0.918759917,105.2355069,103.7788828,105.2355069,103.7788828,103.7727744,104.4807335,90.29284877,96.39801239,0.320295491,4,0.05205192,1398,1457,1370.9,1.019768036,1.062805456,0,0.4,-8.238953717,179,69
194,Pepperdine,WCC,22-Sep,104.5525891,166,106.3040546,212,0.452381695,194,9,22,2,14,14-Feb,0.586421235,0.494128134,0.671479701,0.586421235,0.494128134,0.671479701,0.787667117,0.828939639,109.4629764,103.5317083,109.4629764,103.5317083,104.9833907,108.6446954,107.1404636,110.1775164,0.420322527,4,-0.097782056,1255,1403,1209.15,1.037919199,1.160319233,0,0.125,-12.47862188,262,348
195,Abilene Christian,WAC,13-17,105.1605507,159,106.9884783,226,0.450616896,195,13,17,5,11,11-May,0.483287379,0.334883114,0.600883892,0.483287379,0.334883114,0.600883892,0.845656465,0.866898243,105.0272959,102.4681664,105.0272959,102.4681664,106.17881,107.1557022,96.44474652,104.6432413,0.281254814,4,-0.048553423,1171,1229,1136.7875,1.030095774,1.081116743,0,0.3125,-10.03835914,218,285
196,George Washington,A10,16-16,109.3088118,93,111.2421557,313,0.449764428,196,16,16,10,8,8-Oct,0.464894889,0.373590013,0.529528315,0.464894889,0.373590013,0.529528315,0.887653644,0.904687274,103.0397122,103.9387453,103.0397122,103.9387453,109.4691273,110.4604453,0,0,0,0,-0.000762452,1398,1444,1307.0125,1.069614866,1.104809633,0,0.555555556,-10.06535319,219,170
197,Wright St.,Horz,18-15,103.9486006,183,105.7925056,201,0.449620045,197,18,15,10,10,10-Oct,0.344990383,0.372659415,0.340525314,0.344990383,0.372659415,0.340525314,0.926220771,0.913558601,102.254127,108.5653004,102.254127,108.5653004,104.3369499,107.3225354,0,0,0,0,-0.062000372,1599,1522,1467.9125,1.089301985,1.036846542,0,0.5,-10.81777132,235,306
